name,category,selected_migration,selected_value,old_value,migration_final_value,current_log41_value,old_vs_current,migration_final_vs_current,selected_vs_current
ACRO_BAL_PITCH,other,False,,1.0,1.0,1.0,same,same,not_selected
ACRO_BAL_ROLL,other,False,,1.0,1.0,1.0,same,same,not_selected
ACRO_OPTIONS,other,False,,0.0,0.0,0.0,same,same,not_selected
ACRO_RP_EXPO,other,False,,0.300000012,0.300000012,0.30000001192092896,same,same,not_selected
ACRO_RP_RATE,other,False,,360.0,360.0,360.0,same,same,not_selected
ACRO_RP_RATE_TC,other,False,,0.0,0.0,0.0,same,same,not_selected
ACRO_THR_MID,other,False,,0.0,0.0,0.0,same,same,not_selected
ACRO_TRAINER,other,False,,2.0,2.0,2.0,same,same,not_selected
ACRO_Y_EXPO,other,False,,0.0,0.0,0.0,same,same,not_selected
ACRO_Y_RATE,other,False,,202.5,202.5,202.5,same,same,not_selected
ACRO_Y_RATE_TC,other,False,,0.0,0.0,0.0,same,same,not_selected
ADSB_TYPE,other,False,,0.0,0.0,0.0,same,same,not_selected
AHRS_COMP_BETA,navigation_sensor,False,,0.100000001,0.100000001,0.10000000149011612,same,same,not_selected
AHRS_EKF_TYPE,navigation_sensor,True,3.0,3.0,3.0,3.0,same,same,same
AHRS_GPS_GAIN,navigation_sensor,False,,1.0,1.0,1.0,same,same,not_selected
AHRS_GPS_MINSATS,navigation_sensor,False,,6.0,6.0,6.0,same,same,not_selected
AHRS_GPS_USE,navigation_sensor,False,,1.0,1.0,1.0,same,same,not_selected
AHRS_OPTIONS,navigation_sensor,True,24.0,24.0,24.0,24.0,same,same,same
AHRS_ORIENTATION,navigation_sensor,False,,0.0,0.0,0.0,same,same,not_selected
AHRS_ORIGIN_ALT,navigation_sensor,True,0.0,0.0,0.0,0.0,same,same,same
AHRS_ORIGIN_LAT,navigation_sensor,True,22.135278701782227,22.1352787,22.1352787,22.135278701782227,same,same,same
AHRS_ORIGIN_LON,navigation_sensor,True,113.54499816894531,113.544998,113.544998,113.54499816894531,same,same,same
AHRS_RP_P,navigation_sensor,False,,0.100000001,0.200000003,0.20000000298023224,different,same,not_selected
AHRS_TRIM_X,hardware_specific,False,,0.00173882407,0.0,-0.004157308954745531,different,different,not_selected
AHRS_TRIM_Y,hardware_specific,False,,-0.0141977472,0.0,-0.012634593062102795,different,different,not_selected
AHRS_TRIM_Z,hardware_specific,False,,0.0,0.0,0.0,same,same,not_selected
AHRS_WIND_MAX,navigation_sensor,False,,0.0,0.0,0.0,same,same,not_selected
AHRS_YAW_P,navigation_sensor,False,,0.100000001,0.200000003,0.20000000298023224,different,same,not_selected
ARMING_ACCTHRESH,safety,False,,0.75,0.75,0.75,same,same,not_selected
ARMING_CRSDP_IGN,safety,False,,0.0,0.0,0.0,same,same,not_selected
ARMING_MAGTHRESH,safety,False,,100.0,100.0,100.0,same,same,not_selected
ARMING_MIS_ITEMS,safety,False,,0.0,0.0,0.0,same,same,not_selected
ARMING_NEED_LOC,safety,False,,0.0,0.0,0.0,same,same,not_selected
ARMING_OPTIONS,safety,False,,0.0,0.0,0.0,same,same,not_selected
ARMING_RUDDER,safety,False,,2.0,2.0,2.0,same,same,not_selected
ARMING_SKIPCHK,safety,False,,0.0,0.0,0.0,same,same,not_selected
